player_id,Player,DraftYear,Pick,PickBand,text_profile
0,Clifton McNeely,1947,1,Top10,"Giocatore: Clifton McNeely. Provenienza: Texas Wesleyan University. Scelto al Draft NBA 1947 con la pick 1. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
1,Glen Selbo,1947,2,Top10,"Giocatore: Glen Selbo. Provenienza: Wisconsin. Scelto al Draft NBA 1947 con la pick 2. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 75.9%, buon tiratore di tiri liberi. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 23.0 a partita, ottimo playmaker e passatore. Segna in media 42.0 punti a partita. Win Shares in carriera: -0.2."
2,Bulbs Ehlers,1947,3,Top10,"Giocatore: Bulbs Ehlers. Provenienza: Purdue. Scelto al Draft NBA 1947 con la pick 3. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 61.8%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 177.0 a partita, ottimo playmaker e passatore. Segna in media 800.0 punti a partita. Win Shares in carriera: 3.0."
3,Walt Dropo,1947,4,Top10,"Giocatore: Walt Dropo. Provenienza: UConn. Scelto al Draft NBA 1947 con la pick 4. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
4,Dick Holub,1947,5,Top10,"Giocatore: Dick Holub. Provenienza: Long Island University. Scelto al Draft NBA 1947 con la pick 5. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 63.3%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 37.0 a partita, ottimo playmaker e passatore. Segna in media 504.0 punti a partita. Win Shares in carriera: 4.2."
5,Chink Crossin,1947,6,Top10,"Giocatore: Chink Crossin. Provenienza: Penn. Scelto al Draft NBA 1947 con la pick 6. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 71.1%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 223.0 a partita, ottimo playmaker e passatore. Segna in media 694.0 punti a partita. Win Shares in carriera: 3.7."
6,Jack Underman,1947,7,Top10,"Giocatore: Jack Underman. Provenienza: Ohio State. Scelto al Draft NBA 1947 con la pick 7. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
7,Paul Huston,1947,8,Top10,"Giocatore: Paul Huston. Provenienza: Ohio State. Scelto al Draft NBA 1947 con la pick 8. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 69.7%, tiratore di liberi migliorabile. Rimbalzi: -100.0 a partita, rimbalzista non di impatto. Assist: 27.0 a partita, ottimo playmaker e passatore. Segna in media 164.0 punti a partita. Win Shares in carriera: 1.2."
8,Dick O'Keefe,1947,9,Top10,"Giocatore: Dick O'Keefe. Provenienza: Santa Clara. Scelto al Draft NBA 1947 con la pick 9. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Tiri liberi: 64.0%, tiratore di liberi migliorabile. Rimbalzi: 37.0 a partita, forte rimbalzista. Assist: 160.0 a partita, ottimo playmaker e passatore. Segna in media 888.0 punti a partita. Win Shares in carriera: 1.7."
9,Larry Killick,1947,10,Top10,"Giocatore: Larry Killick. Provenienza: University of Vermont. Scelto al Draft NBA 1947 con la pick 10. Fascia di scelta: Top10. Tiro da 3: -100.0%, tiratore da 3 punti poco affidabile. Assist: 0.0 a partita, non particolarmente orientato agli assist. Win Shares in carriera: 0.0."
