player_id,Player,DraftYear,Pick,PickBand,text_profile,Status
0,Clifton McNeely,1947,1.0,Top10,"Giocatore: Clifton McNeely. Proveniente da Texas Wesleyan University. Selezionato al Draft NBA 1947 con la pick 1 (Top10). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
1,Glen Selbo,1947,2.0,Top10,"Giocatore: Glen Selbo. Proveniente da Wisconsin. Selezionato al Draft NBA 1947 con la pick 2 (Top10). Tiri liberi: 75.9%, buon tiratore di tiri liberi. Segna 3.2 punti a partita. Distribuisce 1.8 assist di media. Win Shares totali: -0.2.",Retired
2,Bulbs Ehlers,1947,3.0,Top10,"Giocatore: Bulbs Ehlers. Proveniente da Purdue. Selezionato al Draft NBA 1947 con la pick 3 (Top10). Tiri liberi: 61.8%, tiratore di liberi migliorabile. Segna 8.1 punti a partita. Distribuisce 1.8 assist di media. Win Shares totali: 3.0.",Retired
3,Walt Dropo,1947,4.0,Top10,"Giocatore: Walt Dropo. Proveniente da UConn. Selezionato al Draft NBA 1947 con la pick 4 (Top10). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
4,Dick Holub,1947,5.0,Top10,"Giocatore: Dick Holub. Proveniente da Long Island University. Selezionato al Draft NBA 1947 con la pick 5 (Top10). Tiri liberi: 63.3%, tiratore di liberi migliorabile. Segna 10.5 punti a partita. Distribuisce 0.8 assist di media. Win Shares totali: 4.2.",Retired
5,Chink Crossin,1947,6.0,Top10,"Giocatore: Chink Crossin. Proveniente da Penn. Selezionato al Draft NBA 1947 con la pick 6 (Top10). Tiri liberi: 71.1%, tiratore di liberi migliorabile. Segna 4.7 punti a partita. Distribuisce 1.5 assist di media. Win Shares totali: 3.7.",Retired
6,Jack Underman,1947,7.0,Top10,"Giocatore: Jack Underman. Proveniente da Ohio State. Selezionato al Draft NBA 1947 con la pick 7 (Top10). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
7,Paul Huston,1947,8.0,Top10,"Giocatore: Paul Huston. Proveniente da Ohio State. Selezionato al Draft NBA 1947 con la pick 8 (Top10). Tiri liberi: 69.7%, tiratore di liberi migliorabile. Segna 3.6 punti a partita. Distribuisce 0.6 assist di media. Win Shares totali: 1.2.",Retired
8,Dick O'Keefe,1947,9.0,Top10,"Giocatore: Dick O'Keefe. Proveniente da Santa Clara. Selezionato al Draft NBA 1947 con la pick 9 (Top10). Tiri liberi: 64.0%, tiratore di liberi migliorabile. Segna 5.2 punti a partita. Cattura 2.2 rimbalzi a partita. Distribuisce 0.9 assist di media. Win Shares totali: 1.7.",Retired
9,Larry Killick,1947,10.0,Top10,"Giocatore: Larry Killick. Proveniente da University of Vermont. Selezionato al Draft NBA 1947 con la pick 10 (Top10). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
10,Bob Jake,1947,11.0,FirstRound,"Giocatore: Bob Jake. Proveniente da University of Vermont. Selezionato al Draft NBA 1947 con la pick 11 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
11,Hank Biasatti,1947,12.0,FirstRound,"Giocatore: Hank Biasatti. Proveniente da Long Island University. Selezionato al Draft NBA 1947 con la pick 12 (FirstRound). Tiri liberi: 50.0%, tiratore di liberi migliorabile. Segna 1.0 punti a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.1.",Retired
12,Ben Schadler,1947,13.0,FirstRound,"Giocatore: Ben Schadler. Proveniente da Northwestern. Selezionato al Draft NBA 1947 con la pick 13 (FirstRound). Tiri liberi: 76.9%, buon tiratore di tiri liberi. Segna 1.5 punti a partita. Distribuisce 0.2 assist di media. Win Shares totali: -0.5.",Retired
13,Ray Evans,1947,14.0,FirstRound,"Giocatore: Ray Evans. Proveniente da Kansas. Selezionato al Draft NBA 1947 con la pick 14 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
14,Norman Butz,1947,15.0,FirstRound,"Giocatore: Norman Butz. Proveniente da Saint Joseph's. Selezionato al Draft NBA 1947 con la pick 15 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
15,Fritz Nagy,1947,16.0,FirstRound,"Giocatore: Fritz Nagy. Proveniente da University of Akron. Selezionato al Draft NBA 1947 con la pick 16 (FirstRound). Tiri liberi: 67.0%, tiratore di liberi migliorabile. Segna 5.1 punti a partita. Distribuisce 1.4 assist di media. Win Shares totali: 2.1.",Retired
16,Bob Hubbard,1947,17.0,FirstRound,"Giocatore: Bob Hubbard. Proveniente da Springfield College. Selezionato al Draft NBA 1947 con la pick 17 (FirstRound). Tiri liberi: 67.4%, tiratore di liberi migliorabile. Segna 3.6 punti a partita. Distribuisce 0.5 assist di media. Win Shares totali: -0.9.",Retired
17,Johnny Knopf,1947,18.0,FirstRound,"Giocatore: Johnny Knopf. Proveniente da Louisville. Selezionato al Draft NBA 1947 con la pick 18 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
18,Red Rocha,1947,19.0,FirstRound,"Giocatore: Red Rocha. Proveniente da Oregon State. Selezionato al Draft NBA 1947 con la pick 19 (FirstRound). Tiri liberi: 75.9%, buon tiratore di tiri liberi. Segna 10.9 punti a partita. Cattura 6.6 rimbalzi a partita. Distribuisce 2.0 assist di media. Win Shares totali: 47.9.",Retired
19,Jack Tingle,1947,20.0,FirstRound,"Giocatore: Jack Tingle. Proveniente da Kentucky. Selezionato al Draft NBA 1947 con la pick 20 (FirstRound). Tiri liberi: 51.5%, tiratore di liberi migliorabile. Segna 2.3 punti a partita. Distribuisce 0.2 assist di media. Win Shares totali: 0.4.",Retired
20,John Rusinko,1947,21.0,FirstRound,"Giocatore: John Rusinko. Proveniente da Penn State. Selezionato al Draft NBA 1947 con la pick 21 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
21,Gene Stump,1947,22.0,FirstRound,"Giocatore: Gene Stump. Proveniente da DePaul. Selezionato al Draft NBA 1947 con la pick 22 (FirstRound). Tiri liberi: 69.2%, tiratore di liberi migliorabile. Segna 5.3 punti a partita. Distribuisce 0.8 assist di media. Win Shares totali: 1.1.",Retired
22,Jimmy Darden,1947,23.0,FirstRound,"Giocatore: Jimmy Darden. Proveniente da Denver. Selezionato al Draft NBA 1947 con la pick 23 (FirstRound). Tiri liberi: 68.8%, tiratore di liberi migliorabile. Segna 8.1 punti a partita. Distribuisce 2.6 assist di media. Win Shares totali: -0.2.",Retired
23,Ed Golub,1947,24.0,FirstRound,"Giocatore: Ed Golub. Proveniente da High School. Selezionato al Draft NBA 1947 con la pick 24 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
24,Jim Kaeding,1947,25.0,FirstRound,"Giocatore: Jim Kaeding. Proveniente da York College of Pennsylvania. Selezionato al Draft NBA 1947 con la pick 25 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
25,Bob Alamo,1947,26.0,FirstRound,"Giocatore: Bob Alamo. Proveniente da Santa Clara. Selezionato al Draft NBA 1947 con la pick 26 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
26,Joe Barry,1947,27.0,FirstRound,"Giocatore: Joe Barry. Proveniente da High School. Selezionato al Draft NBA 1947 con la pick 27 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
27,Herb Wilkinson,1947,28.0,FirstRound,"Giocatore: Herb Wilkinson. Proveniente da Iowa. Selezionato al Draft NBA 1947 con la pick 28 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
28,Frank Broyles,1947,29.0,FirstRound,"Giocatore: Frank Broyles. Proveniente da Georgia Tech. Selezionato al Draft NBA 1947 con la pick 29 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
29,Bill Burke,1947,30.0,FirstRound,"Giocatore: Bill Burke. Proveniente da St. Mary's College of Maryland. Selezionato al Draft NBA 1947 con la pick 30 (FirstRound). Tiri liberi: 0.0%, tiratore di liberi migliorabile. Segna 0.0 punti a partita. Cattura 0.0 rimbalzi a partita. Distribuisce 0.0 assist di media. Win Shares totali: 0.0.",Retired
30,Harry Gallatin,1947,31.0,SecondRound,"Giocatore: Harry Gallatin. Proveniente da Truman State University. Selezionato al Draft NBA 1947 con la pick 31 (SecondRound). Tiri liberi: 77.3%, buon tiratore di tiri liberi. Segna 13.0 punti a partita. Cattura 11.9 rimbalzi a partita. Distribuisce 1.8 assist di media. Win Shares totali: 78.4.",Retired
31,Johnny Ezersky,1947,32.0,SecondRound,"Giocatore: Johnny Ezersky. Proveniente da Rhode Island. Selezionato al Draft NBA 1947 con la pick 32 (SecondRound). Tiri liberi: 66.9%, tiratore di liberi migliorabile. Segna 7.6 punti a partita. Distribuisce 1.3 assist di media. Win Shares totali: 1.5.",Retired
32,Gene Vance,1947,33.0,SecondRound,"Giocatore: Gene Vance. Proveniente da Illinois. Selezionato al Draft NBA 1947 con la pick 33 (SecondRound). Tiri liberi: 68.7%, tiratore di liberi migliorabile. Segna 8.3 punti a partita. Cattura 3.0 rimbalzi a partita. Distribuisce 2.3 assist di media. Win Shares totali: 10.3.",Retired
